scheduler,internal_device,physical_gpu,start_time_s,end_time_s,duration_s
sailp,0,3,5269.272583701648,5277.391775694676,8.119191993027925
sailp,0,3,5278.0722512397915,5278.281669261865,0.20941802207380533
sailp,0,3,5279.029271014035,5279.333305644803,0.3040346307680011
sailp,0,3,5279.9208897110075,5284.390034889802,4.469145178794861
sailp,0,3,5284.828652541153,5290.682214841247,5.853562300093472
sailp,0,3,5291.136133767664,5297.810309432447,6.674175664782524
sailp,0,3,5298.248290466145,5313.201825496741,14.953535030595958
sailp,0,3,5313.934060973115,5318.154660153203,4.220599180087447
sailp,0,3,5319.001005476341,5320.142140621319,1.1411351449787617
sailp,0,3,5320.579732954502,5326.678086616099,6.098353661596775
sailp,0,3,5327.478791931644,5330.029280623421,2.550488691776991
sailp,0,3,5330.734611819498,5362.964860032313,32.23024821281433
sailp,0,3,5363.740527478047,5367.317130465992,3.57660298794508
sailp,0,3,5367.756276385859,5399.784033715725,32.02775732986629
sailp,0,3,5400.459637138061,5401.26978793554,0.8101507974788547
sailp,0,3,5401.915975989774,5408.073632048443,6.15765605866909
sailp,0,3,5408.763215708546,5412.8519214699045,4.088705761358142
sailp,0,3,5413.332147380337,5418.340917524882,5.008770144544542
sailp,0,3,5418.826529844664,5427.500704150647,8.674174305982888
sailp,0,3,5428.334041969851,5428.5114908972755,0.17744892742484808
sailp,0,3,5429.292832580395,5430.908994474448,1.6161618940532207
sailp,0,3,5431.348157380708,5433.6478743823245,2.299717001616955
sailp,0,3,5434.379432299174,5434.915320143104,0.5358878439292312
sailp,0,3,5435.355202902108,5440.732988285832,5.377785383723676
sailp,0,3,5441.234910754487,5446.284894850105,5.049984095618129
sailp,0,3,5446.763994521461,5452.62250246387,5.858507942408323
sailp,0,3,5453.21553162951,5462.332061843015,9.11653021350503
sailp,0,3,5462.771806428209,5465.268688777462,2.496882349252701
sailp,0,3,5465.948314493522,5473.500666946173,7.552352452650666
sailp,0,3,5473.972329398617,5478.084477529861,4.112148131243885
sailp,0,3,5478.760470602661,5480.528218830004,1.7677482273429632
sailp,0,3,5481.025526412763,5513.197583582252,32.17205716948956
sailp,0,3,5513.638434743509,5522.263684327714,8.625249584205449
sailp,0,3,5522.646084351465,5527.733363598585,5.087279247120023
sailp,0,3,5528.30543249473,5536.415016124025,8.10958362929523
sailp,0,3,5537.0684535726905,5538.1808958416805,1.1124422689899802
sailp,0,3,5538.897536977194,5542.623238116503,3.725701139308512
sailp,0,3,5543.244773646817,5545.532941186801,2.288167539983988
sailp,0,3,5546.086759916507,5547.298906660639,1.212146744132042
sailp,0,3,5548.103347167373,5548.60111163836,0.4977644709870219
sailp,0,3,5548.940976216458,5558.163497608155,9.222521391697228
sailp,0,3,5558.742576336488,5563.039020974189,4.296444637700915
sailp,0,3,5563.538930460811,5574.5822991505265,11.043368689715862
sailp,0,3,5574.92272069864,5583.632114786655,8.70939408801496
sailp,0,3,5584.170906848274,5584.349613335915,0.1787064876407385
sailp,0,3,5585.066066649742,5587.519221514463,2.453154864721
sailp,0,3,5587.977082985453,5588.295801298693,0.3187183132395148
sailp,0,3,5588.935997249559,5589.127830750309,0.19183350075036287
sailp,0,3,5589.831936801784,5590.083562819287,0.2516260175034404
sailp,0,3,5590.7285721627995,5591.523518496193,0.7949463333934546
sailp,0,3,5592.015510575846,5606.37890951708,14.363398941233754
sailp,0,3,5607.05550700333,5610.378630433232,3.323123429901898
sailp,0,3,5610.842259956524,5615.161068096757,4.318808140233159
sailp,0,3,5615.712361805141,5622.528909613378,6.816547808237374
sailp,0,3,5623.008940172382,5626.9400174357,3.9310772633180022
sailp,0,3,5627.383981742896,5628.92655695416,1.542575211264193
sailp,0,3,5629.366770983674,5629.614865949377,0.24809496570378542
sailp,0,3,5630.35088986624,5631.923578768037,1.572688901796937
sailp,0,3,5632.364744803868,5638.394450679421,6.029705875553191
sailp,0,3,5638.88882455416,5646.85854396224,7.969719408079982
sailp,0,3,5647.344987739809,5647.533634738997,0.1886469991877675
sailp,0,3,5648.2079354850575,5653.607215292752,5.399279807694256
sailp,0,3,5654.128261996433,5654.344056415372,0.21579441893845797
sailp,0,3,5655.027367702685,5661.8481941754,6.820826472714543
sailp,0,3,5662.394186087884,5665.111888983287,2.7177028954029083
sailp,0,3,5665.823814092204,5667.215657307766,1.3918432155624032
sailp,0,3,5667.778455050662,5675.980273566209,8.20181851554662
sailp,0,3,5676.608774165623,5677.693519214168,1.084745048545301
sailp,0,3,5678.438422095031,5706.847212778404,28.40879068337381
sailp,0,3,5707.415498625487,5711.8319272734225,4.4164286479353905
sailp,0,3,5712.639799363911,5716.674047312699,4.034247948788106
sailp,0,3,5717.04350523185,5719.848666836508,2.805161604657769
sailp,0,3,5720.479880851693,5721.141187420115,0.6613065684214234
sailp,0,3,5721.891586679034,5722.100691898726,0.2091052196919918
sailp,0,3,5722.770097819157,5727.884915364906,5.114817545749247
sailp,0,3,5728.225555484183,5728.564463863149,0.33890837896615267
sailp,0,3,5729.2611715029925,5734.266843141988,5.005671638995409
sailp,0,3,5734.925027746707,5743.83096652478,8.905938778072596
sailp,0,3,5744.215845719911,5744.60898566246,0.39313994254916906
sailp,0,3,5745.051649140194,5746.256748441607,1.2050993014127016
sailp,0,3,5746.925032549538,5751.707946919836,4.782914370298386
sailp,0,3,5752.281913204119,5756.381042147055,4.099128942936659
sailp,0,3,5757.061918439344,5761.619927193038,4.558008753694594
sailp,0,3,5762.310536196455,5762.491194139235,0.1806579427793622
sailp,0,3,5763.171459208243,5766.746037813835,3.574578605592251
sailp,0,3,5767.234103383496,5769.780854305252,2.546750921756029
sailp,0,3,5770.23914491199,5802.283788287081,32.044643375091255
sailp,0,3,5802.725963711739,5805.550911386497,2.8249476747587323
sailp,0,3,5806.022409662604,5812.5117163434625,6.489306680858135
sailp,0,3,5812.920802687295,5825.952895620838,13.032092933543026
sailp,0,3,5826.601444863714,5827.482310009189,0.8808651454746723
sailp,0,3,5828.103831090033,5833.967162190005,5.863331099972129
sailp,0,3,5834.30982836429,5839.304434915073,4.994606550782919
sailp,0,3,5839.747302284464,5872.06749243103,32.32019014656544
sailp,0,3,5872.524223258719,5878.781605668366,6.257382409647107
sailp,0,3,5879.224660128355,5879.777356220409,0.5526960920542479
sailp,0,3,5880.2194784218445,5881.340086968616,1.120608546771109
sailp,0,3,5882.14292112086,5882.811460404657,0.6685392837971449
sailp,0,3,5883.616457301192,5885.065019125119,1.448561823926866
sailp,0,3,5885.40800351277,5885.820966911502,0.41296339873224497
sailp,0,3,5886.345704453997,5892.799778897315,6.45407444331795
sailp,0,3,5893.241855984554,5903.76003157068,10.518175586126745
sailp,0,3,5904.102997661568,5908.47779301554,4.374795353971422
sailp,0,3,5908.920555300079,5919.148397963494,10.227842663414776
sailp,0,3,5919.864427075721,5920.807789230719,0.9433621549978852
sailp,0,3,5921.277706683613,5923.318604219705,2.0408975360915065
sailp,0,3,5923.602937643416,5924.879160093144,1.2762224497273564
sailp,0,3,5925.582042705268,5927.8335743891075,2.2515316838398576
sailp,0,3,5928.531768292189,5935.842129696161,7.3103614039719105
sailp,0,3,5936.3158803246915,5940.393941866234,4.078061541542411
sailp,0,3,5940.737246144563,5942.541402186267,1.8041560417041183
sailp,0,3,5943.192823706195,5953.996638997458,10.803815291263163
sailp,0,3,5954.439961104654,5961.505477236584,7.065516131930053
sailp,0,3,5962.131627305411,5966.5023075360805,4.370680230669677
sailp,0,3,5967.023451011628,5969.357151574455,2.333700562827289
sailp,0,3,5969.906761552207,5971.900737186894,1.9939756346866488
sailp,0,3,5972.277478818782,5975.279731796123,3.0022529773414135
sailp,0,3,5975.799765525386,5978.079316206276,2.2795506808906794
sailp,0,3,5978.840235684067,5984.399985772558,5.559750088490546
sailp,0,3,5984.844178026542,5985.810986399651,0.9668083731085062
sailp,0,3,5986.2435686495155,5987.16020328179,0.9166346322745085
sailp,0,3,5987.757489823736,5998.798520875163,11.041031051427126
sailp,0,3,5999.24921738077,6012.859087306075,13.609869925305247
sailp,0,3,6013.615526248701,6015.158579754643,1.5430535059422255
sailp,0,3,6015.637087189592,6015.993145920336,0.35605873074382544
sailp,0,3,6016.600123634562,6022.52128450945,5.921160874888301
sailp,0,3,6023.056747776456,6031.174503433518,8.117755657061934
sailp,0,3,6031.940828970633,6037.419026505202,5.478197534568608
sailp,0,3,6037.878512169234,6042.628154239617,4.7496420703828335
sailp,0,3,6043.418012219481,6061.410778489895,17.992766270413995
sailp,0,3,6061.854772684164,6062.159885742702,0.3051130585372448
sailp,0,3,6062.559760040604,6067.49672527425,4.936965233646333
sailp,0,3,6068.131976207718,6070.107067477889,1.9750912701711059
sailp,0,3,6070.550738554448,6073.035540134646,2.484801580198109
sailp,0,3,6073.478884306736,6078.164790954441,4.685906647704542
sailp,0,3,6078.805481792428,6085.795520386659,6.9900385942310095
sailp,0,3,6086.240402892232,6096.373837032355,10.133434140123427
sailp,0,3,6096.920123683289,6097.158309006132,0.23818532284349203
sailp,0,3,6097.761569131166,6098.095817828551,0.3342486973851919
sailp,0,3,6098.650517068803,6098.954070553184,0.3035534843802452
sailp,0,3,6099.477469698526,6104.914003901184,5.43653420265764
sailp,0,3,6105.654205867089,6119.833385230042,14.17917936295271
sailp,0,3,6120.531948722899,6121.461975454353,0.930026731453836
sailp,0,3,6121.991944606416,6127.129165076651,5.137220470234752
sailp,0,3,6127.947583596222,6130.540477102622,2.592893506400287
sailp,0,3,6130.985330517404,6138.626183245331,7.6408527279272676
sailp,0,3,6139.314112147316,6139.514792922884,0.2006807755678892
sailp,0,3,6140.119942974299,6146.178066380322,6.058123406022787
sailp,0,3,6146.547492172569,6150.548291905783,4.00079973321408
sailp,0,3,6150.90922287479,6156.635975858197,5.726752983406186
sailp,0,3,6157.098135136068,6162.256335464306,5.158200328238308
sailp,0,3,6162.701118314639,6166.11236397922,3.4112456645816565
sailp,0,3,6166.647548354231,6168.370438170619,1.7228898163884878
sailp,0,3,6169.0868729334325,6169.727015219629,0.640142286196351
sailp,0,3,6170.503293068148,6177.479783499613,6.9764904314652085
sailp,0,3,6177.819751525298,6179.901146122254,2.0813945969566703
sailp,0,3,6180.533810748719,6192.3733868012205,11.839576052501798
sailp,0,3,6192.8184355106205,6195.941161821596,3.1227263109758496
sailp,0,3,6196.779911488295,6204.490120104514,7.710208616219461
sailp,0,3,6204.899557149038,6212.59794927761,7.698392128571868
sailp,0,3,6213.376550399698,6219.077475908212,5.700925508514047
sailp,0,3,6219.689848332666,6225.667969189584,5.978120856918395
sailp,0,3,6226.2482300344855,6233.556422256865,7.308192222379148
sailp,0,3,6234.152307683602,6240.274488853291,6.122181169688702
sailp,0,3,6241.112015354447,6243.059144614264,1.9471292598173022
sailp,0,3,6243.593813859858,6247.244175795466,3.650361935608089
sailp,0,3,6248.077164841816,6254.641983570531,6.564818728715181
sailp,0,3,6255.3334012636915,6260.9098938871175,5.57649262342602
sailp,0,3,6261.355434664525,6264.374837393872,3.019402729347348
sailp,0,3,6264.820332580246,6270.379901659675,5.559569079428911
sailp,0,3,6270.830854939297,6279.624577974901,8.793723035603762
sailp,0,3,6280.380894371308,6286.496749726124,6.1158553548157215
sailp,0,3,6286.942809223197,6287.926035510376,0.9832262871786952
sailp,0,3,6288.371948081069,6292.681598507799,4.309650426730514
sailp,0,3,6293.228750664741,6295.464253486134,2.235502821393311
sailp,0,3,6296.179766040295,6297.404764215462,1.2249981751665473
sailp,0,3,6298.046195881441,6314.231355492026,16.18515961058438
sailp,0,3,6314.899473108351,6316.416231266223,1.5167581578716636
sailp,0,3,6316.761779488064,6322.940075525083,6.178296037018299
sailp,0,3,6323.664685496129,6326.95716845151,3.2924829553812742
sailp,0,3,6327.556074566208,6328.895270661451,1.3391960952430964
sailp,0,3,6329.5238705081865,6334.253505785018,4.7296352768316865
sailp,0,3,6334.951923403889,6340.298210899346,5.346287495456636
sailp,0,3,6340.791455873288,6348.669930947013,7.878475073724985
sailp,0,3,6349.116810534149,6351.624102701433,2.5072921672835946
sailp,0,3,6352.070674708113,6356.783649703488,4.71297499537468
sailp,0,3,6357.379586047493,6365.961821781471,8.58223573397845
sailp,0,3,6366.67787830811,6367.01088609267,0.33300778456032276
sailp,0,3,6367.684009380639,6400.479916303419,32.79590692277998
sailp,0,3,6400.826091231778,6405.387859667651,4.561768435873091
sailp,0,3,6405.834953011014,6410.1808424266055,4.345889415591955
sailp,0,3,6410.825871645473,6414.410591926426,3.5847202809527516
sailp,0,3,6414.864876513369,6419.673189706169,4.808313192799687
sailp,0,3,6420.175933254883,6427.403488967568,7.227555712684989
sailp,0,3,6428.096282813698,6434.355485521257,6.25920270755887
sailp,0,3,6435.0326872440055,6440.306560571305,5.2738733272999525
sailp,0,3,6440.9008281053975,6443.715143442154,2.814315336756408
sailp,0,3,6444.365550715476,6444.688793309033,0.32324259355664253
sailp,0,3,6445.332130239345,6445.55831778422,0.22618754487484694
sailp,0,3,6446.298214168288,6446.603401840664,0.3051876723766327
sailp,0,3,6447.208168404177,6447.515775297768,0.3076068935915828
sailp,0,3,6448.175462064333,6454.93562636245,6.760164298117161
