timestamp,gpu_index,memory_total_mb,memory_used_mb,utilization_gpu_pct,power_w,rate_label,scheduler,elapsed_minutes
1783989157.6715393,3,40960,31367,84,243.35,0.12,rhsail,130.477858988444
1783989157.6715393,4,40960,31367,85,261.6,0.12,rhsail,130.477858988444
1783989157.6715393,5,40960,32189,92,290.74,0.12,rhsail,130.477858988444
1783989157.6715393,6,40960,32185,85,252.39,0.12,rhsail,130.477858988444
1783989157.6715393,7,40960,32581,92,282.76,0.12,rhsail,130.477858988444
1783989162.8037453,3,40960,31367,95,275.62,0.12,rhsail,130.56339575449627
1783989162.8037453,4,40960,31367,87,267.52,0.12,rhsail,130.56339575449627
1783989162.8037453,5,40960,32189,91,293.11,0.12,rhsail,130.56339575449627
1783989162.8037453,6,40960,32185,86,252.06,0.12,rhsail,130.56339575449627
1783989162.8037453,7,40960,32581,86,270.61,0.12,rhsail,130.56339575449627
1783989167.9388816,3,40960,31367,84,244.84,0.12,rhsail,130.64898136059443
1783989167.9388816,4,40960,31367,0,461.78,0.12,rhsail,130.64898136059443
1783989167.9388816,5,40960,32189,85,272.93,0.12,rhsail,130.64898136059443
1783989167.9388816,6,40960,32185,86,250.91,0.12,rhsail,130.64898136059443
1783989167.9388816,7,40960,32581,87,273.85,0.12,rhsail,130.64898136059443
1783989173.0697534,3,40960,31367,83,237.7,0.12,rhsail,130.73449589014052
1783989173.0697534,4,40960,31367,84,256.22,0.12,rhsail,130.73449589014052
1783989173.0697534,5,40960,32189,85,269.95,0.12,rhsail,130.73449589014052
1783989173.0697534,6,40960,32185,86,249.96,0.12,rhsail,130.73449589014052
1783989173.0697534,7,40960,32581,87,268.86,0.12,rhsail,130.73449589014052
1783989178.2062707,3,40960,31367,0,213.38,0.12,rhsail,130.82010451157888
1783989178.2062707,4,40960,31367,89,270.51,0.12,rhsail,130.82010451157888
1783989178.2062707,5,40960,32189,8,402.78,0.12,rhsail,130.82010451157888
1783989178.2062707,6,40960,32185,0,86.52,0.12,rhsail,130.82010451157888
1783989178.2062707,7,40960,32581,88,278.59,0.12,rhsail,130.82010451157888
1783989183.3806703,3,40960,31367,84,238.58,0.12,rhsail,130.9063445051511
1783989183.3806703,4,40960,31367,87,271.66,0.12,rhsail,130.9063445051511
1783989183.3806703,5,40960,32189,78,103.92,0.12,rhsail,130.9063445051511
1783989183.3806703,6,40960,32185,90,262.1,0.12,rhsail,130.9063445051511
1783989183.3806703,7,40960,32581,85,269.13,0.12,rhsail,130.9063445051511
1783989188.5090864,3,40960,31367,86,247.46,0.12,rhsail,130.99181810617446
1783989188.5090864,4,40960,31367,88,272.88,0.12,rhsail,130.99181810617446
1783989188.5090864,5,40960,32189,86,269.07,0.12,rhsail,130.99181810617446
1783989188.5090864,6,40960,32185,90,264.73,0.12,rhsail,130.99181810617446
1783989188.5090864,7,40960,32581,85,270.06,0.12,rhsail,130.99181810617446
1783989193.6399443,3,40960,31367,86,253.7,0.12,rhsail,131.07733240524928
1783989193.6399443,4,40960,31367,86,260.1,0.12,rhsail,131.07733240524928
1783989193.6399443,5,40960,32189,86,280.04,0.12,rhsail,131.07733240524928
1783989193.6399443,6,40960,32185,91,260.61,0.12,rhsail,131.07733240524928
1783989193.6399443,7,40960,32581,89,286.0,0.12,rhsail,131.07733240524928
1783989198.772378,3,40960,31367,0,88.09,0.12,rhsail,131.16287296613058
1783989198.772378,4,40960,31367,87,271.66,0.12,rhsail,131.16287296613058
1783989198.772378,5,40960,32189,88,285.41,0.12,rhsail,131.16287296613058
1783989198.772378,6,40960,32185,91,272.14,0.12,rhsail,131.16287296613058
1783989198.772378,7,40960,32581,89,282.72,0.12,rhsail,131.16287296613058
1783989203.9088128,3,40960,31367,85,250.73,0.12,rhsail,131.24848021268843
1783989203.9088128,4,40960,31367,88,277.36,0.12,rhsail,131.24848021268843
1783989203.9088128,5,40960,32189,87,280.38,0.12,rhsail,131.24848021268843
1783989203.9088128,6,40960,32185,91,270.38,0.12,rhsail,131.24848021268843
1783989203.9088128,7,40960,32581,89,286.28,0.12,rhsail,131.24848021268843
1783989209.044796,3,40960,31367,86,252.82,0.12,rhsail,131.3340799331665
1783989209.044796,4,40960,31367,88,272.27,0.12,rhsail,131.3340799331665
1783989209.044796,5,40960,32189,88,290.41,0.12,rhsail,131.3340799331665
1783989209.044796,6,40960,32185,91,265.61,0.12,rhsail,131.3340799331665
1783989209.044796,7,40960,32581,90,292.21,0.12,rhsail,131.3340799331665
1783989214.1725736,3,40960,31367,88,260.53,0.12,rhsail,131.41954289277393
1783989214.1725736,4,40960,31367,87,275.53,0.12,rhsail,131.41954289277393
1783989214.1725736,5,40960,32189,89,292.78,0.12,rhsail,131.41954289277393
1783989214.1725736,6,40960,32185,91,265.06,0.12,rhsail,131.41954289277393
1783989214.1725736,7,40960,32581,90,293.37,0.12,rhsail,131.41954289277393
1783989219.3001068,3,40960,31367,0,399.27,0.12,rhsail,131.50500177939733
1783989219.3001068,4,40960,31367,87,276.15,0.12,rhsail,131.50500177939733
1783989219.3001068,5,40960,32189,100,261.08,0.12,rhsail,131.50500177939733
1783989219.3001068,6,40960,32185,99,261.5,0.12,rhsail,131.50500177939733
1783989219.3001068,7,40960,32581,90,295.13,0.12,rhsail,131.50500177939733
1783989224.4481957,3,40960,31367,88,257.56,0.12,rhsail,131.59080326159796
1783989224.4481957,4,40960,31367,88,274.38,0.12,rhsail,131.59080326159796
1783989224.4481957,5,40960,32189,94,307.61,0.12,rhsail,131.59080326159796
1783989224.4481957,6,40960,32185,88,266.21,0.12,rhsail,131.59080326159796
1783989224.4481957,7,40960,32581,90,290.73,0.12,rhsail,131.59080326159796
1783989229.5774908,3,40960,31367,88,256.07,0.12,rhsail,131.676291513443
1783989229.5774908,4,40960,31367,94,291.9,0.12,rhsail,131.676291513443
1783989229.5774908,5,40960,32189,82,290.14,0.12,rhsail,131.676291513443
1783989229.5774908,6,40960,32185,88,257.98,0.12,rhsail,131.676291513443
1783989229.5774908,7,40960,32581,91,293.7,0.12,rhsail,131.676291513443
1783989234.714551,3,40960,31367,24,426.61,0.12,rhsail,131.76190918286642
1783989234.714551,4,40960,31367,94,293.99,0.12,rhsail,131.76190918286642
1783989234.714551,5,40960,32189,100,391.68,0.12,rhsail,131.76190918286642
1783989234.714551,6,40960,32185,88,260.68,0.12,rhsail,131.76190918286642
