rate,rate_label,scheduler,dataset,count,avg_wait_s,avg_service_s,p95_service_s,max_service_s,avg_completion_s
0.15,0.15,fcfs,strategyqa,200,827.2814759259298,19.09473217511084,34.51327855144626,62.48882532119751,846.3762081010407
0.15,0.15,fcfs,swebench_verified,200,918.2661723119113,82.85343420330435,152.59464730820613,251.5999401640147,1001.1196065152158
0.15,0.15,sjf,gsm8k,200,3.092580147217959,7.972137084549758,13.694582267338406,41.29168453393504,11.064717231767718
0.15,0.15,sjf,hotpotqa,200,423.5662753342115,156.0325111681246,641.1202232913798,4556.063400426414,579.5987865023361
0.15,0.15,sjf,math,200,1.6693445507530122,42.97083355865441,100.98616494478185,236.15138641092926,44.64017810940742
0.15,0.15,sjf,mbpp,200,2.306943876806181,35.74386924176011,67.51704400572923,94.3685972536914,38.050813118566296
0.15,0.15,sjf,mmlu_pro,200,4.699822300400119,23.361428859787992,70.56048527166706,190.62436191737652,28.061251160188114
0.15,0.15,sjf,strategyqa,200,1.1731766356690787,15.315816079971846,23.813326847460118,28.89547153422609,16.488992715640926
0.15,0.15,sjf,swebench_verified,200,1578.5968715233962,397.1653869686136,580.9970174678094,9942.171710022725,1975.7622584920098
0.15,0.15,rhsail,gsm8k,200,409.47748601182366,13.797883670693263,38.62763711451552,100.97298756800592,423.2753696825169
0.15,0.15,rhsail,hotpotqa,200,804.2635812649131,75.78424346197862,109.86165563114916,126.70668256469071,880.0478247268917
0.15,0.15,rhsail,math,200,864.748797575538,96.00556820476893,139.66743711056188,268.54517454933375,960.754365780307
0.15,0.15,rhsail,mbpp,200,674.442573325024,68.79762724353932,89.1131219298113,110.31841024104506,743.2402005685633
0.15,0.15,rhsail,mmlu_pro,200,617.1618755480227,32.88889368484262,102.21591457487078,161.51860197354108,650.0507692328654
0.15,0.15,rhsail,strategyqa,200,424.5910495736916,40.67113746096846,63.49158930215052,87.07276487909257,465.26218703466003
0.15,0.15,rhsail,swebench_verified,200,1267.9722807546052,156.20745246626902,216.87188880918535,279.9431189317256,1424.1797332208744
